100000,
27,
-6.900177,107.599281,none,Node 1,
-6.897587,107.59934,rs,Poliklinik RSHS,
-6.89622,107.599383,none,Node 2,
-6.89605,107.598702,rs,RS Unpad,
-6.895941,107.598225,none,Node 3,
-6.896772,107.597308,none,Node 4,
-6.900207,107.597396,none,Node 5,
-6.893059,107.597044,none,Node 6,
-6.892846,107.595124,none,Node 7,
-6.8924,107.594747,rs,Puskesmas Sukajadi,
-6.894535,107.597161,none,Node 8,
-6.893973,107.595463,none,Node 9,
-6.90014,107.595924,none,Node 10,
-6.898659,107.594079,none,Node 11,
-6.896294,107.595066,none,Node 12,
-6.896436,107.596048,none,Node 13,
-6.895749,107.60145,none,Node 14,
-6.894066,107.598703,none,Node 15,
-6.892065,107.599309,none,Node 16,
-6.890828,107.599583,none,Node 17,
-6.895802,107.602308,none,Node 18,
-6.89152,107.602447,none,Node 19,
-6.891499,107.603262,rs,Rumah Sakit Advent Bandung,
-6.891691,107.604228,none,Node 20,
-6.895717,107.603938,none,Node 21,
-6.900183,107.604146,none,Node 22,
-6.900279,107.602258,none,Node 23,
